Affiliation,Country,count,latitude,longitude
Florida International University,United States,391,25.7553898,-80.37628328
Prince of Songkla University,Thailand,389,7.0069589,100.5007596
University of Southampton,United Kingdom,388,1.42991655,103.6121772
Universidade Estadual de Campinas,Brazil,385,-22.82265605,-47.0627959
Universidad de Sonora,Mexico,380,29.083525,-110.9628871
Isfahan University of Technology,Iran,379,32.71868435,51.53414653
Peking University,China,377,40.17336535,116.15722
University of Belgrade,Serbia,376,44.8179654,20.4507765
Universit? degli Studi di Siena,Italy,373,43.3218679,11.3344986
Metallurgy and Materials Research Institute Chulalongkorn University,Thailand,371,14.8971921,100.83273
Monash University,Australia,366,-37.78397455,144.9586743
Marmara ?niversitesi,Turkey,363,40.9872142,29.05294894
Universite de Haute Alsace,France,363,47.7305753,7.310949186
Brandenburgische Technische Universit?t Cottbus,Germany,362,51.76705785,14.32507229
Kafkas ?niversitesi,Turkey,361,40.58094665,43.0565672
Visva-Bharati University,India,361,23.6794559,87.689454
Technische Universit?t Wien,Austria,360,48.1989256,16.3698784
Consejo Nacional de Ciencia y Tecnologia Mexico,Mexico,359,19.4326296,-99.1331785
Indian Institute of Technology Bhubaneswar,India,358,20.14793795,85.67639483
Texas A&amp;M University at Qatar,Qatar,358,25.3336984,51.2295295
Istanbul Bilgi ?niversitesi,Turkey,356,41.067126,28.94725
Bing?l ?niversitesi,Turkey,354,38.9008748,40.48549833
Sinop ?niversitesi,Turkey,354,42.0096692,35.0724083
Chulalongkorn Business School,Thailand,353,14.8971921,100.83273
Adiyaman ?niversitesi,Turkey,352,37.74720375,38.22785241
Budker Institute of Nuclear Physics of the Siberian Branch of the RAS,Russian Federation,349,64.6863136,97.7453061
Stefan-Meyer-Institut f?r Subatomare Physik,Austria,349,48.2074719,16.3924811
Peter the Great St. Petersburg Polytechnic University,Russian Federation,348,60.0059539,30.37664864
P?r? Reis ?niversitesi,Turkey,347,40.8163551,29.2902233
Thailand National Center for Genetic Engineering and Biotechnology,Thailand,344,14.07836385,100.6015089
Srinakharinwirot University,Thailand,342,13.7448618,100.5647349
Kyung Hee University,South Korea,340,37.5971213,127.0519867
Izmir Y?ksek Teknoloji Enstit?s?,Turkey,333,38.3226588,26.6377295
Universit? di Trento,Italy,330,46.0658461,11.1194973
Ramathibodi Hospital,Thailand,325,13.76728305,100.5261717
Istanbul ?niversitesi,Turkey,324,41.0132424,28.9637609
Universidade Federal do Rio Grande do Sul,Brazil,322,-30.03331505,-51.21994397
Institute of Physics Bhubaneswar,India,311,20.30785645,85.83082379
Shoolini University,India,300,30.8644984,77.1181494
King Mongkut's Institute of Technology Ladkrabang,Thailand,298,13.72990675,100.7829827
Bethel University,United States,295,45.0598639,-93.16397776
Mimar Sinan G?zel Sanatlar ?niversitesi,Turkey,291,41.0300797,28.98912055
Mersin ?niversitesi,Turkey,290,36.95308975,34.8489571
?stanbul Ayd?n ?niversitesi,Turkey,283,40.99162565,28.79679708
Hacettepe ?niversitesi,Turkey,281,39.86744815,32.73538452
T.C. Beykent ?niversitesi,Turkey,281,38.9597594,34.9249653
University of Chinese Academy of Sciences,China,281,39.90769705,116.2440577
Erzincan Binali Y?ld?r?m ?niversitesi,Turkey,279,39.8055155,39.37635033
King Mongkut's University of Technology North Bangkok,Thailand,279,13.8218432,100.5131602
Deakin University,Australia,278,-37.84751365,145.1149474
The British University in Egypt,Egypt,278,30.11897325,31.61009999
King Mongkut's University of Technology Thonburi,Thailand,277,13.65177175,100.4944087
Universidad de Antioquia,Colombia,275,6.26795265,-75.56877478
University of Montenegro,Montenegro,271,42.44306805,19.23724305
Politechnika Warszawska,Poland,268,52.2216394,21.00737979
University of Colombo,Sri Lanka,268,6.9010965,79.86043453
Ozyegin University,Turkey,265,38.9597594,34.9249653
AGH University of Krakow,Poland,264,50.0657033,19.91895867
Karamano?lu Mehmetbey ?niversitesi,Turkey,264,37.1725771,33.25841122
Academy of Science,Thailand,262,-35.28366275,149.1231015
"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand,256,14.8971921,100.83273
Silpakorn University,Thailand,255,13.75290555,100.4899671
Naresuan University,Thailand,248,16.746551,100.195528
Tomsk State University,Russian Federation,240,56.4695177,84.94588605
Fayoum University,Egypt,237,29.3212445,30.83557106
Sun Yat-Sen University,China,235,23.09960335,113.2923509
Necmettin Erbakan ?niversitesi,Turkey,229,37.8762248,32.43136745
Zhejiang University,China,229,30.521595,120.7195312
Agensi Nuklear Malaysia,Malaysia,220,2.9004935,101.7601717
Thai Red Cross Agency,Thailand,218,14.8971921,100.83273
