target,Country,count
Suranaree University of Technology,Thailand,117
Ramkhamhaeng University,Thailand,116
Institut Pluridisciplinaire Hubert Curien,France,115
Suez University,Egypt,115
Institut de Physique des 2 Infinis de Lyon,France,114
Ecole Polytechnique Fédérale de Lausanne,Switzerland,112
National University of Singapore,Singapore,112
"University of California, San Francisco",United States,111
"Faculty of Tropical Medicine, Mahidol University",Thailand,109
Suan Sunandha Rajabhat University,Thailand,108
Mahasarakham University,Thailand,108
Harvard Medical School,United States,107
"Faculty of Medicine, Prince of Songkia University",Thailand,99
Chulabhorn Royal Academy,Thailand,99
Hokkaido University,Japan,99
The HIV Netherlands Australia Thailand Research Collaboration,Thailand,99
The Kirby Institute,Australia,97
Yazd University,Iran,96
Sharif University of Technology,Iran,96
Mayo Clinic,United States,94
Instituto Astrofisico de Canarias,Spain,94
Institute of Nuclear Physics Uzbekistan Academy of Sciences,Uzbekistan,94
University of Melbourne,Australia,94
Erciyes Üniversitesi,Turkey,94
University of Phayao,Thailand,93
University of Liverpool,United Kingdom,93
Shanghai Jiao Tong University,China,93
Massachusetts General Hospital,United States,91
Vajira Hospital,Thailand,91
Center of Excellence on Hazardous Substance Management,Thailand,91
Stanford University,United States,91
Vidyasirimedhi Institute of Science and Technology,Thailand,90
Institute of Modern Physics Chinese Academy of Sciences,China,90
Thailand National Electronics and Computer Technology Center,Thailand,87
"Arab Academy for Science, Technology and Maritime Transport",Egypt,87
Bumrungrad International Hospital,Thailand,86
Universiteit van Amsterdam,Netherlands,86
Universidad Nacional Autónoma de México,Mexico,85
King's College London,United Kingdom,84
Yanshan University,China,84
Universidade de São Paulo,Brazil,83
Graduate School of Medicine,Japan,82
Rajamangala University of Technology Thanyaburi (RMUTT),Thailand,82
The University of Queensland,Australia,82
Chinese University of Hong Kong,Hong Kong,81
Karolinska Institutet,Sweden,81
The University of Hong Kong,Hong Kong,79
Tokyo Institute of Technology,Japan,79
Mae Fah Luang University,Thailand,78
Rajavithi Hospital,Thailand,78
Universiti Putra Malaysia,Malaysia,78
Jeonbuk National University,South Korea,77
University College London,United Kingdom,76
Michigan State University,United States,75
Istanbul University-Cerrahpasa,Turkey,75
Konya Technical University,Turkey,75
"Karlsruher Institut für Technologie, Campus Süd",Germany,74
Eszterházy Károly Catholic University,Hungary,74
"Kasetsart University, Kamphaeng Saen Campus",Thailand,74
Universidade Estadual de Londrina,Brazil,73
The University of British Columbia,Canada,71
The University of Sydney,Australia,71
University of Oxford,United Kingdom,70
Tohoku University,Japan,70
Uppsala Universitet,Sweden,70
University of Pittsburgh School of Medicine,United States,69
The University of Utah,United States,68
Universitas Airlangga,Indonesia,68
The University of Texas MD Anderson Cancer Center,United States,68
Osaka University,Japan,67
NUS Yong Loo Lin School of Medicine,Singapore,67
Universiti Kebangsaan Malaysia,Malaysia,66
Ltd.,Thailand,66
"Mahidol University, Faculty of Dentistry",Thailand,66
